ts,arc,status,rc,bytes,verified_count,dur_s
2025-09-08T12:57:13,"/tmp/test_batch_fixed/test2.tar.gz",OK,0,130,수:,15
2025-09-08T12:57:13,"/tmp/test_batch_fixed/test1.tar.gz",OK,0,144,수:,15
2025-09-08T14:19:32,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Phase6_Completion_Backup_20250729_132725.tar.gz",FAIL,1,112859136,0,17
2025-09-08T14:21:49,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRiWorkspace_20250727_1634_complete_backup.tar.gz",FAIL,1,660922005,0,154
2025-09-08T14:23:15,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Backup_Phase6_20250807_172145.tar.gz",FAIL,1,710954734,0,240
2025-09-08T14:25:11,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_전략_판단_4단계_통합_시스템_백업_20250807_134651.tar.gz",OK,0,3478294,886,202
2025-09-08T14:26:40,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_3단계_통합_학습_시스템_백업_20250807_133917.tar.gz",OK,0,3475120,884,205
2025-09-08T14:28:03,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Phase3_Complete_Backup_20250805_190404.tar.gz",OK,0,3040700,810,172
2025-09-08T14:29:31,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Phase2_Complete_Backup_20250805_183912.tar.gz",OK,0,2987243,801,171
2025-09-08T14:30:53,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Phase2.1_Complete_Backup_20250805_181717.tar.gz",OK,0,2963312,797,170
2025-09-08T14:32:17,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Phase2.1_Complete_Backup_20250805_181704.tar.gz",OK,0,2963312,797,166
2025-09-08T14:32:21,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Phase1-3_Week3_Day10_Complete_Backup_20250806_141448.tar.gz",OK,0,2355417,518,88
2025-09-08T14:32:21,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/temp_extract_8월7일/DuRiCore/DuRiCore/DuRiCore_Day14_PreRefactoring_Backup_20250806_214833.tar.gz",FAIL,1,43554,0,0
2025-09-08T14:32:21,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRiCore_backup_20250807_094339_optimal_performance/DuRiCore/DuRiCore_Day14_PreRefactoring_Backup_20250806_214833.tar.gz",FAIL,1,43554,0,0
2025-09-08T14:32:22,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRiCore/DuRiCore/DuRiCore_Day14_PreRefactoring_Backup_20250806_214833.tar.gz",FAIL,1,43554,0,1
2025-09-08T14:32:23,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/temp_extract_8월7일/DuRiCore/modules/ml_integration/backup_20250812_185615.tar.gz",OK,0,32062,19,1
2025-09-08T14:32:23,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/temp_extract_8월7일/DuRiCore/modules/ml_integration/backup_20250812_185549.tar.gz",OK,0,32062,19,0
2025-09-08T14:32:23,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/temp_extract_8월7일/DuRiCore/modules/ml_integration/backup_20250812_185522.tar.gz",FAIL,1,45,0,0
2025-09-08T14:33:29,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Backup_20250810_224720.tar.gz",OK,0,48539385,739,854
2025-09-08T14:33:32,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_Phase1-3_Week3_Day10_Complete_Backup_20250806_141432.tar.gz",OK,0,2355417,518,75
2025-09-08T14:33:35,"/mnt/h/ARCHIVE/.QUAR_FAIL/FULL__2025-08-19__1459__host-duri-head/DuRi_BackupBackupBackup_20250810_224813.tar.gz",OK,0,48539385,739,843
