/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
/usr/bin/python3: can't open file '/home/duri/scripts/broadcast_emotion_if_changed.py': [Errno 2] No such file or directory
[2025-05-25 17:19:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:20:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:21:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:22:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:23:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:24:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:25:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:26:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:27:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:28:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:29:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:30:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:31:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:32:02] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:33:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:34:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:35:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:36:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:37:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:38:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:39:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:40:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:41:01] [❌] delta.json 없음 또는 비정상
[2025-05-25 17:42:01] [📢] 최초 전송 - 기록 없음
lost connection
[2025-05-25 17:42:01] [❌] 전송 실패 → duri-brain (192.168.0.9)
lost connection
[2025-05-25 17:42:01] [❌] 전송 실패 → duri-control (192.168.0.11)
lost connection
[2025-05-25 17:42:01] [❌] 전송 실패 → duri-evolution (192.168.0.20)
[2025-05-25 17:43:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:44:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:45:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:46:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:47:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:48:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:49:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:50:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:51:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:52:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:53:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:54:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:55:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:56:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:57:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:58:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 17:59:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:00:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:01:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:02:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:03:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:04:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:05:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:06:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:07:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:08:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:09:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:10:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:11:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:12:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:13:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:14:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:15:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:16:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:17:01] [⏸️] 변화 없음 - 전송 생략
[2025-05-25 18:18:01] [⏸️] 변화 없음 - 전송 생략
